the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac,NTAname
POINT (-73.89419459332895 40.863166158877114),2,Bronx,207,15,78,33,13,East Kingsbridge Road and Briggs Avenue,Bronx,11/29/2022,-73.89419459,40.86316616,X,AREA OF MINIMAL FLOOD HAZARD,,University Heights (North)-Fordham
POINT (-73.90801029884211 40.7130142766747),4,Queens,405,30,37,12,7,Metropolitan Avenue and 55th Street,Queens,06/30/2021,-73.90801029,40.71301367,X,AREA OF MINIMAL FLOOD HAZARD,,Maspeth
POINT (-74.00585087957519 40.71167835370929),1,Manhattan,101,1,66,27,10,Spruce Street and Nassau Street,Manhattan,03/20/2020,-74.00585069,40.71167789,X,AREA OF MINIMAL FLOOD HAZARD,5,Financial District-Battery Park City
POINT (-73.95829321836634 40.6798316605709),3,Brooklyn,302,36,57,25,8,Atlantic Avenue and Classon Avenue,Brooklyn,08/03/2019,-73.95829318,40.67983118,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (West)
POINT (-73.92519945931977 40.6574960993799),3,Brooklyn,317,41,58,19,9,Remsen Avenue with Clarkson Avenue (South Leg) and East 56th Street,Brooklyn,01/22/2021,-73.92519952,40.6574956,X,AREA OF MINIMAL FLOOD HAZARD,6,East Flatbush-Remsen Village
POINT (-73.832275896469 40.700871168971936),4,Queens,409,29,24,15,5,Hillside Avenue with Babbage Street and 118th Street,Queens,02/16/2021,-73.83227605,40.70087047,X,AREA OF MINIMAL FLOOD HAZARD,,Richmond Hill
POINT (-73.91403106607282 40.81895439332526),2,Bronx,201,17,79,32,15,Third Avenue and East 154th Street,Bronx,07/30/2022,-73.91403107,40.81895439,X,AREA OF MINIMAL FLOOD HAZARD,6,Melrose
POINT (-73.90783898684144 40.80820676651376),2,Bronx,201,8,84,29,15,Southern Boulevard and St Marys Street,Bronx,09/17/2022,-73.90783899,40.80820677,X,AREA OF MINIMAL FLOOD HAZARD,5,Mott Haven-Port Morris
POINT (-73.94472340518286 40.78324782523782),1,Manhattan,111,5,68,29,12,1 Avenue and East 96 Street,Manhattan,11/14/2022,-73.94472341,40.78324783,AE,,2,Upper East Side-Yorkville
POINT (-73.93208321955616 40.7426606594431),4,Queens,402,26,37,12,7,47th Avenue and 33rd Street,Queens,03/18/2022,-73.93208311,40.74266004,X,AREA OF MINIMAL FLOOD HAZARD,,Sunnyside
POINT (-73.84605571846282 40.73709936443613),4,Queens,406,29,35,13,6,Grand Central Parkway and 62nd Drive,Queens,04/28/2020,-73.8460558,40.73709865,AE,,2,Forest Hills
POINT (-73.82786467016706 40.76536305759041),4,Queens,407,20,40,16,6,Union Street and 35th Avenue,Queens,08/01/2022,-73.82786467,40.76536306,X,AREA OF MINIMAL FLOOD HAZARD,3,Flushing-Willets Point
POINT (-73.95635718690133 40.690799072606055),3,Brooklyn,303,36,57,25,8,Dekalb Avenue and Skillman Street,Brooklyn,01/28/2021,-73.95635713,40.69079857,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (West)
POINT (-73.87845757513084 40.74821522716928),4,Queens,403,21,34,13,14,Roosevelt Avenue with Britton Avenue and 88th Street,Queens,08/16/2022,-73.87845758,40.74821523,X,AREA OF MINIMAL FLOOD HAZARD,,Jackson Heights
POINT (-73.95829519606154 40.815691466807095),1,Manhattan,109,7,70,30,13,Broadway and West 125th Street,Manhattan,04/22/2022,-73.958295,40.815691,X,AREA OF MINIMAL FLOOD HAZARD,5,Morningside Heights
POINT (-73.97722250955671 40.5919209524264),3,Brooklyn,313,47,45,23,8,86th Street and Avenue W,Brooklyn,05/11/2022,-73.97722251,40.59192095,X,AREA OF MINIMAL FLOOD HAZARD,2,Gravesend (East)-Homecrest
POINT (-73.80774161975947 40.70058306357273),4,Queens,412,27,32,14,5,Sutphin Boulevard and Archer Avenue,Queens,03/13/2017,-73.80774182,40.70058233,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica
POINT (-73.99827543940428 40.73539051806262),1,Manhattan,102,3,66,47,10,Avenue of the Americas and West 11th Street,Manhattan,02/13/2020,-73.9982752,40.73538999,X,AREA OF MINIMAL FLOOD HAZARD,5,West Village
POINT (-73.95408451635471 40.613507354542456),3,Brooklyn,314,48,41,22,9,Ocean Avenue and Avenue O,Brooklyn,10/12/2022,-73.95408452,40.61350735,X,AREA OF MINIMAL FLOOD HAZARD,5,Midwood
POINT (-73.89670267961701 40.74042761749621),4,Queens,402,26,30,12,6,Queens Boulevard with 68th Street and BQE Eastbound Entrance,Queens,03/03/2022,-73.89670265,40.74042696,X,AREA OF MINIMAL FLOOD HAZARD,,Woodside
POINT (-73.94247290345108 40.62961680363909),3,Brooklyn,318,45,41,21,9,Avenue I and East 35 Street,Brooklyn,02/01/2023,-73.9424729,40.6296168,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-73.93580791109645 40.809496539750874),1,Manhattan,111,9,68,30,13,Park Avenue and East 132nd Street,Manhattan,01/28/2022,-73.93580791,40.80949654,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,East Harlem (North)
POINT (-73.83361818864151 40.88418496504174),2,Bronx,212,12,83,36,14,Boston Road and Bivona Street,Bronx,07/03/2019,-73.83361819,40.88418497,X,AREA OF MINIMAL FLOOD HAZARD,,Eastchester-Edenwald-Baychester
POINT (-73.7636314365413 40.65970997317353),4,Queens,413,31,31,10,5,147 Avenue and 184 Street,Queens,12/07/2021,-73.76363144,40.65970997,X,AREA OF MINIMAL FLOOD HAZARD,3,Springfield Gardens (South)-Brookville
POINT (-73.91375847390434 40.8387026942422),2,Bronx,204,16,77,32,15,East 170th Street and 150’ West of Grand Concourse,Bronx,04/29/2019,-73.91375847,40.83870269,X,AREA OF MINIMAL FLOOD HAZARD,,Mount Eden-Claremont (West)
POINT (-73.89656154872831 40.86856483592213),2,Bronx,207,14,78,31,13,Jerome Avenue and West 195th Street,Bronx,04/16/2019,-73.89656145,40.86856438,X,AREA OF MINIMAL FLOOD HAZARD,,University Heights (North)-Fordham
POINT (-73.97954576374077 40.76619852353203),1,Manhattan,105,4,75,28,12,7th Avenue and West 58th Street,Manhattan,07/18/2021,-73.97954553,40.76619798,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown-Times Square
POINT (-73.97441071279088 40.732593551932716),1,Manhattan,106,4,74,59,12,Avenue C and East 20th Street,Manhattan,05/07/2020,-73.97441053,40.732593,AE,,1,Stuyvesant Town-Peter Cooper Village
POINT (-73.98636322528529 40.7401848316367),1,Manhattan,105,2,74,28,12,Park Avenue South and East 23rd Street,Manhattan,05/25/2018,-73.986363,40.74018428,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown South-Flatiron-Union Square
POINT (-73.98181621581153 40.68733098711226),3,Brooklyn,302,33,52,26,10,Schermerhorn Street and Nevins Street,Brooklyn,12/04/2013,-73.98181612,40.68733053,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.84281133579762 40.689873313252185),4,Queens,409,32,38,15,5,Atlantic Avenue and 102nd Street,Queens,06/15/2022,-73.84281134,40.68987331,X,AREA OF MINIMAL FLOOD HAZARD,,Richmond Hill
POINT (-73.89902381891332 40.73514875778148),4,Queens,405,30,30,12,6,Maurice Avenue and 66th Street,Queens,05/16/2020,-73.89902379,40.73514811,X,AREA OF MINIMAL FLOOD HAZARD,,Maspeth
POINT (-73.80853659385713 40.67499684166115),4,Queens,410,28,31,10,5,Rockaway Boulevard at 130th Street,Queens,01/14/2020,-73.80853659,40.67499684,X,AREA OF MINIMAL FLOOD HAZARD,6,South Ozone Park
POINT (-73.94609750038471 40.60226981224557),3,Brooklyn,315,48,41,22,9,Avenue T and East 26th Street,Brooklyn,01/22/2021,-73.94609764,40.60226944,X,AREA OF MINIMAL FLOOD HAZARD,4,Madison
POINT (-74.16437785222787 40.5768409549535),5,Staten Island,502,51,63,24,11,Platinum Avenue and Marsh Avenue,Staten Island,09/24/2022,-74.16437785,40.57684095,X,AREA OF MINIMAL FLOOD HAZARD,,New Springville-Willowbrook-Bulls Head-Travis
POINT (-73.8706430753253 40.732720080035364),4,Queens,404,25,39,12,6,Woodhaven Boulevard (NB) and Long Island Epressway entrance ramp,Queens,03/14/2012,-73.87064311,40.7327194,X,AREA OF MINIMAL FLOOD HAZARD,6,Elmhurst
POINT (-73.96424550800411 40.66579849632266),3,Brooklyn,355,35,44,20,10,Flatbush Avenue and Prospect Park Zoo (mid-block),Brooklyn,01/30/2019,-73.96424549,40.66579805,X,AREA OF MINIMAL FLOOD HAZARD,,Prospect Park
POINT (-73.94264627117938 40.62480019627449),3,Brooklyn,318,45,41,21,9,Avenue K and East 34th Street,Brooklyn,01/28/2022,-73.94264637,40.62479978,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-73.90088542858376 40.849410644316876),2,Bronx,205,15,86,32,15,Valentine Avenue and East 178th Street,Bronx,10/28/2016,-73.90088533,40.84941016,X,AREA OF MINIMAL FLOOD HAZARD,,Mount Hope
POINT (-74.00132476011225 40.7464930648091),1,Manhattan,104,3,75,47,12,9th Avenue and West  23rd Street,Manhattan,07/24/2018,-74.00132449,40.74649252,X,AREA OF MINIMAL FLOOD HAZARD,4,Chelsea-Hudson Yards
POINT (-73.89365017911327 40.66322267138546),3,Brooklyn,305,42,60,19,8,Pennsylvania Avenue and Riverdale Avenue,Brooklyn,02/09/2022,-73.89365028,40.66322211,X,AREA OF MINIMAL FLOOD HAZARD,5,East New York-New Lots
POINT (-73.99072198792476 40.7585180790549),1,Manhattan,104,3,75,47,12,West 43 Street between 8 Avenue and 9 Avenue,Manhattan,12/14/2022,-73.99072199,40.75851808,X,AREA OF MINIMAL FLOOD HAZARD,,Hell's Kitchen
POINT (-74.08414287724634 40.643431394209706),5,Staten Island,501,49,61,23,11,Crescent Avenue and Westervelt Avenue,Staten Island,10/23/2022,-74.08414288,40.64343139,X,AREA OF MINIMAL FLOOD HAZARD,,St. George-New Brighton
POINT (-73.95963454536819 40.57799479156763),3,Brooklyn,313,48,46,23,8,Brighton Beach Avenue and Coney Island Avenue,Brooklyn,03/01/2018,-73.95963472,40.57799449,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,Brighton Beach
POINT (-73.97229882182403 40.64794422014701),3,Brooklyn,307,39,44,20,10,Caton Avenue and East 8th Street,Brooklyn,09/11/2018,-73.97229883,40.64794382,X,AREA OF MINIMAL FLOOD HAZARD,,Windsor Terrace-South Slope
POINT (-73.89531546473471 40.81719657098811),2,Bronx,202,17,85,32,14,Southern Boulevard and Intervale Avenue,Bronx,04/26/2019,-73.89531539,40.81719602,X,AREA OF MINIMAL FLOOD HAZARD,6,Hunts Point
POINT (-73.93973260371378 40.660074280444086),3,Brooklyn,309,41,43,20,9,Albany Avenue and Rutland Road,Brooklyn,09/16/2022,-73.9397326,40.66007428,X,AREA OF MINIMAL FLOOD HAZARD,,Prospect Lefferts Gardens-Wingate
POINT (-73.81701126668474 40.58861823709172),4,Queens,414,32,23,10,5,Beach Channel Drive and Beach 92nd Street,Queens,07/05/2022,-73.81701127,40.58861824,X,AREA OF MINIMAL FLOOD HAZARD,1,Rockaway Beach-Arverne-Edgemere
POINT (-74.11122464913764 40.629684617413965),5,Staten Island,501,49,63,24,11,Forest Avenue and Bement Avenue,Staten Island,12/10/2019,-74.11122471,40.62968444,X,AREA OF MINIMAL FLOOD HAZARD,,West New Brighton-Silver Lake-Grymes Hill
POINT (-74.01970425116671 40.62218591730565),3,Brooklyn,310,43,46,26,11,7th Avenue and 81st Street,Brooklyn,03/09/2020,-74.01970429,40.62218564,X,AREA OF MINIMAL FLOOD HAZARD,,Dyker Heights
POINT (-74.16272239875545 40.560775193188334),5,Staten Island,503,51,62,24,11,Arthur Kill Road and Armstrong Avenue,Staten Island,07/27/2022,-74.1627224,40.56077519,X,AREA OF MINIMAL FLOOD HAZARD,1,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
POINT (-73.96124407233847 40.816116151629764),1,Manhattan,109,7,70,30,13,Riverside Drive South Triangle (Tiemann Stairs),Manhattan,01/25/2018,-73.96124387,40.81611569,X,AREA OF MINIMAL FLOOD HAZARD,,Morningside Heights
POINT (-73.95139885651109 40.77007335028219),1,Manhattan,108,5,76,28,12,York Avenue and East 77 Street,Manhattan,10/31/2022,-73.95139886,40.77007335,X,AREA OF MINIMAL FLOOD HAZARD,,Upper East Side-Lenox Hill-Roosevelt Island
POINT (-73.92263136510073 40.66837302036043),3,Brooklyn,316,41,55,25,8,Eastern Parkway and Ralph Avenue,Brooklyn,02/01/2021,-73.92263141,40.6683725,X,AREA OF MINIMAL FLOOD HAZARD,,Ocean Hill
POINT (-74.17564820034656 40.61218284584252),5,Staten Island,502,50,63,24,11,South Avenue and Lois Lane,Staten Island,06/23/2022,-74.1756482,40.61218285,X,AREA OF MINIMAL FLOOD HAZARD,2,New Springville-Willowbrook-Bulls Head-Travis
POINT (-73.83500915113815 40.83810613336574),2,Bronx,210,13,82,34,14,East Tremont Avenue and Coddington Avenue,Bronx,06/18/2022,-73.83500915,40.83810613,X,AREA OF MINIMAL FLOOD HAZARD,,Throgs Neck-Schuylerville
POINT (-73.89641157392535 40.90450358141941),2,Bronx,208,11,81,33,15,Broadway and Mosholu Avenue,Bronx,02/18/2022,-73.89641146,40.90450319,X,AREA OF MINIMAL FLOOD HAZARD,,Riverdale-Spuyten Duyvil
POINT (-73.87536431853435 40.87958032081422),2,Bronx,207,11,81,33,15,East Gun Hill Road and Putnam Place,Bronx,10/29/2021,-73.87536425,40.87957985,X,AREA OF MINIMAL FLOOD HAZARD,,Norwood
POINT (-73.9415303157854 40.60758049013313),3,Brooklyn,315,46,59,22,8,Gerritsen Avenue and Avenue R (South Leg),Brooklyn,01/06/2021,-73.94153045,40.6075801,X,AREA OF MINIMAL FLOOD HAZARD,4,Madison
POINT (-73.79398980869078 40.73799577662368),4,Queens,408,24,25,16,6,64th Avenue and 175th Street,Queens,04/15/2022,-73.79399,40.737995,X,AREA OF MINIMAL FLOOD HAZARD,,Fresh Meadows-Utopia
POINT (-73.97555822331852 40.75211723824205),1,Manhattan,105,4,73,28,12,Lexington Avenue and East 43rd Street,Manhattan,11/17/2018,-73.975558,40.75211666,X,AREA OF MINIMAL FLOOD HAZARD,,East Midtown-Turtle Bay
POINT (-73.92985591732605 40.767326339482466),4,Queens,401,22,36,59,14,21st Street and 31st Avenue,Queens,10/11/2019,-73.92985579,40.76732574,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,Old Astoria-Hallets Point
POINT (-73.94144137587313 40.79603913327824),1,Manhattan,111,8,68,30,13,3rd Avenue and Pedestrian Crossing at East 113th Street,Manhattan,11/25/2016,-73.94144138,40.79603913,X,AREA OF MINIMAL FLOOD HAZARD,5,East Harlem (North)
POINT (-73.9337045089133 40.85416872550194),1,Manhattan,112,10,72,31,13,Broadway and West 187th Street,Manhattan,07/16/2021,-73.93370435,40.8541683,X,AREA OF MINIMAL FLOOD HAZARD,,Washington Heights (North)
POINT (-73.77165865177435 40.699507105562255),4,Queens,412,27,29,14,5,Dunkirk Street and Wood Street,Queens,05/05/2021,-73.77165892,40.69950632,X,AREA OF MINIMAL FLOOD HAZARD,,St. Albans
POINT (-73.96340489646835 40.81286037547098),1,Manhattan,109,7,69,30,13,Riverside Drive Southbound and 450' North Of West 122nd Street,Manhattan,08/13/2019,-73.96340469,40.81285991,X,AREA OF MINIMAL FLOOD HAZARD,,Morningside Heights
POINT (-73.8699407870996 40.74234931119408),4,Queens,404,25,39,13,6,Corona Avenue and 94th Street,Queens,05/20/2016,-73.86994081,40.74234862,X,AREA OF MINIMAL FLOOD HAZARD,,Elmhurst
POINT (-73.93371052994749 40.73927183214041),4,Queens,402,26,37,12,7,Hunters Point Avenue and 32nd Place,Queens,12/22/2020,-73.93371042,40.73927122,X,AREA OF MINIMAL FLOOD HAZARD,5,Sunnyside
POINT (-73.9811651482069 40.7843551929515),1,Manhattan,107,6,67,47,12,West End Avenue and West 79th Street,Manhattan,02/24/2020,-73.98116491,40.78435469,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side (Central)
POINT (-74.01983646497953 40.6426236210784),3,Brooklyn,307,38,51,26,10,3 Avenue and 59 Street,Brooklyn,10/10/2020,-74.01983645,40.64262331,X,AREA OF MINIMAL FLOOD HAZARD,,Sunset Park (West)
POINT (-73.86950386142784 40.75722810829799),4,Queens,403,21,35,13,14,Northern Boulevard and 99th Street,Queens,08/10/2020,-73.86950387,40.75722742,X,AREA OF MINIMAL FLOOD HAZARD,,East Elmhurst
POINT (-73.93046758840067 40.8486962030243),1,Manhattan,112,10,72,31,13,Amsterdam Avenue and West 182nd Street,Manhattan,07/22/2022,-73.93046759,40.8486962,X,AREA OF MINIMAL FLOOD HAZARD,,Washington Heights (North)
POINT (-73.90158493188922 40.71614348939512),4,Queens,405,30,37,12,6,Fresh Pond Road and 60th Road,Queens,09/23/2021,-73.90158493,40.71614287,X,AREA OF MINIMAL FLOOD HAZARD,,Maspeth
POINT (-73.97932477002996 40.59315172540612),3,Brooklyn,313,47,45,23,8,86th Street between West 8th Street and West 9th Street (mid-block),Brooklyn,12/12/2018,-73.97932489,40.59315144,X,AREA OF MINIMAL FLOOD HAZARD,2,Gravesend (South)
POINT (-73.87280576322871 40.84086907122578),2,Bronx,206,15,87,33,14,Morris Park Avenue and East 180th Street,Bronx,08/14/2020,-73.87280572,40.84086853,X,AREA OF MINIMAL FLOOD HAZARD,6,Pelham Parkway-Van Nest
POINT (-73.98295945114967 40.77173245769741),1,Manhattan,107,6,67,47,12,Columbus Avenue and West 64th Street,Manhattan,03/08/2017,-73.98295921,40.77173193,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Lincoln Square
POINT (-73.9915083398514 40.68795745766097),3,Brooklyn,302,33,52,26,10,Boerum Place and Dean Street,Brooklyn,09/21/2022,-73.99150834,40.68795746,X,AREA OF MINIMAL FLOOD HAZARD,5,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.93848836129328 40.70395486062351),3,Brooklyn,301,34,53,18,7,Bushwick Avenue and Moore Street,Brooklyn,04/23/2021,-73.93848831,40.70395431,X,AREA OF MINIMAL FLOOD HAZARD,5,East Williamsburg
POINT (-73.9196084528974 40.6641549586154),3,Brooklyn,316,41,55,25,9,Blake Avenue with Howard Avenue and Tapscott Street,Brooklyn,01/12/2022,-73.91960851,40.66415444,X,AREA OF MINIMAL FLOOD HAZARD,,Brownsville
POINT (-73.95097792620192 40.72409918613546),3,Brooklyn,301,33,50,59,7,Manhattan Avenue and Bedford Avenue,Brooklyn,12/22/2021,-73.95097781,40.72409862,X,AREA OF MINIMAL FLOOD HAZARD,4,Greenpoint
POINT (-73.9590629050947 40.712164819632804),3,Brooklyn,301,34,53,18,7,Roebling Street and South 2 Street,Brooklyn,12/16/2022,-73.95906291,40.71216482,X,AREA OF MINIMAL FLOOD HAZARD,,Williamsburg
POINT (-73.99117550794116 40.696252124436604),3,Brooklyn,302,33,52,26,10,Tillary Street and Cadman Plaza West,Brooklyn,10/09/2021,-73.99117551,40.69625212,X,AREA OF MINIMAL FLOOD HAZARD,,Brooklyn Heights
POINT (-73.8225992714475 40.58315385588625),4,Queens,414,32,23,10,5,Beach 102nd Street and Rockaway Beach Blvd East Leg,Queens,09/21/2017,-73.82259927,40.58315386,X,AREA OF MINIMAL FLOOD HAZARD,1,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
POINT (-73.99346386367993 40.752190987614675),1,Manhattan,104,3,75,47,12,West 34th Street between 7th and 8th Avenues,Manhattan,03/12/2016,-73.9934636,40.75219043,X,AREA OF MINIMAL FLOOD HAZARD,,Chelsea-Hudson Yards
POINT (-73.87348430685387 40.74250078667687),4,Queens,404,25,39,12,6,Corona Avenue and 91st Place,Queens,09/14/2022,-73.87348431,40.74250079,X,AREA OF MINIMAL FLOOD HAZARD,,Elmhurst
POINT (-73.86516594009878 40.84246605986174),2,Bronx,211,13,80,33,14,White Plains Road and Unionport Road,Bronx,12/30/2020,-73.86516591,40.84246551,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Parkway-Van Nest
POINT (-73.76745733144753 40.657053352918794),4,Queens,413,31,31,10,5,Guy R Brewer Boulevard and 150th Avenue,Queens,05/24/2021,-73.76745764,40.65705258,X,AREA OF MINIMAL FLOOD HAZARD,3,Springfield Gardens (South)-Brookville
POINT (-73.97444347103679 40.75076659237932),1,Manhattan,106,4,73,28,12,Third Avenue and East 42nd Street,Manhattan,11/20/2019,-73.97444325,40.75076601,X,AREA OF MINIMAL FLOOD HAZARD,,East Midtown-Turtle Bay
POINT (-73.86822943888468 40.656930057490655),3,Brooklyn,305,42,60,19,8,Erskine Street and 180' South of Schroeders Avenue,Brooklyn,12/08/2020,-73.86822959,40.65692946,X,AREA OF MINIMAL FLOOD HAZARD,3,Spring Creek-Starrett City
POINT (-73.9975454473515 40.75881640897887),1,Manhattan,104,3,75,47,12,West 40 Street with Galvin Avenue and Lincoln Tunnel Entrance,Manhattan,02/22/2023,-73.99754545,40.75881641,X,AREA OF MINIMAL FLOOD HAZARD,5,Chelsea-Hudson Yards
POINT (-73.70191158836259 40.73871047174637),4,Queens,413,23,33,11,3,Hillside Avenue and 267th Street,Queens,02/04/2021,-73.70191177,40.73870964,X,AREA OF MINIMAL FLOOD HAZARD,,Glen Oaks-Floral Park-New Hyde Park
POINT (-73.89800387262511 40.70840226838736),4,Queens,405,30,37,12,7,Fresh Pond Road and Palmetto Street,Queens,08/19/2022,-73.89800387,40.70840227,X,AREA OF MINIMAL FLOOD HAZARD,,Ridgewood
POINT (-74.10863617754386 40.56982456748659),5,Staten Island,502,50,64,24,11,New Dorp Lane (mid-block) between Hylan Boulevard and Mill Road,Staten Island,10/19/2018,-74.10863646,40.5698244,X,AREA OF MINIMAL FLOOD HAZARD,4,New Dorp-Midland Beach
POINT (-73.94837110922174 40.72654855207447),3,Brooklyn,301,33,50,59,7,Norman Avenue and Newel Street,Brooklyn,01/17/2023,-73.94837111,40.72654855,X,AREA OF MINIMAL FLOOD HAZARD,3,Greenpoint
POINT (-73.87647900113865 40.748417690523596),4,Queens,403,21,34,13,14,"Roosevelt Avenue with Elmhurst Avenue, Case Street and 90th Street",Queens,04/08/2022,-73.876479,40.748417,X,AREA OF MINIMAL FLOOD HAZARD,,Jackson Heights
POINT (-74.19363115724977 40.554921960918364),5,Staten Island,503,51,62,24,11,Arden Avenue and Hampton Green,Staten Island,11/08/2022,-74.19363116,40.55492196,X,AREA OF MINIMAL FLOOD HAZARD,,Arden Heights-Rossville
POINT (-73.92581702099632 40.82796571990949),2,Bronx,204,8,84,29,15,East 161st Street and Pedestrian Crossing (400’ West of River Avenue) (mid-block),Bronx,03/08/2019,-73.92581702,40.82796572,X,AREA OF MINIMAL FLOOD HAZARD,6,Concourse-Concourse Village
POINT (-73.94034811576626 40.830458111748285),1,Manhattan,109,9,71,30,13,West 155th Street with Edgecomb Avenue and HRD / St Nicholas Place,Manhattan,12/30/2015,-73.94034795,40.83045765,X,AREA OF MINIMAL FLOOD HAZARD,,Hamilton Heights-Sugar Hill
POINT (-73.98628748339232 40.722242327870205),1,Manhattan,103,1,65,27,10,East Houston Street with Essex Street and Avenue A,Manhattan,08/01/2019,-73.9862873,40.72224181,X,AREA OF MINIMAL FLOOD HAZARD,,Lower East Side
POINT (-73.99734122412062 40.72994111834066),1,Manhattan,102,1,66,27,10,La Guardia Place (West Broadway) and Washington Square South,Manhattan,03/23/2021,-73.997341,40.7299406,X,AREA OF MINIMAL FLOOD HAZARD,5,Greenwich Village
POINT (-73.90429286760612 40.857707993483885),2,Bronx,205,14,86,33,13,Jerome Avenue and Buchanan Place,Bronx,08/09/2019,-73.90429276,40.85770753,X,AREA OF MINIMAL FLOOD HAZARD,,Fordham Heights
POINT (-74.07825491879788 40.6219797429162),5,Staten Island,501,49,63,23,11,Tompkins Avenue and Hill Street,Staten Island,10/19/2015,-74.07825499,40.62197953,X,AREA OF MINIMAL FLOOD HAZARD,,Tompkinsville-Stapleton-Clifton-Fox Hills
POINT (-74.0007039597205 40.742255167828034),1,Manhattan,104,3,75,47,12,8th Avenue and West 18th Street,Manhattan,02/28/2022,-74.0007037,40.74225463,X,AREA OF MINIMAL FLOOD HAZARD,4,Chelsea-Hudson Yards
POINT (-73.78455511353347 40.697330645249515),4,Queens,412,27,29,14,5,Merrick Boulevard and 109th Avenue,Queens,10/14/2020,-73.78455536,40.69732988,X,AREA OF MINIMAL FLOOD HAZARD,6,South Jamaica
POINT (-73.99174246109767 40.69099363990553),3,Brooklyn,302,33,52,26,10,Court Street and Schermerhorn Street,Brooklyn,08/27/2012,-73.99174234,40.69099319,X,AREA OF MINIMAL FLOOD HAZARD,,Brooklyn Heights
POINT (-73.82580707392266 40.744577454351855),4,Queens,407,20,25,16,6,Main Street and 58th Road,Queens,12/03/2020,-73.82580719,40.74457671,X,AREA OF MINIMAL FLOOD HAZARD,,Queensboro Hill
POINT (-73.85737354178943 40.68572361650151),4,Queens,409,32,38,15,7,Atlantic Avenue and 84th Street,Queens,11/21/2018,-73.85737367,40.68572297,X,AREA OF MINIMAL FLOOD HAZARD,5,Ozone Park (North)
POINT (-73.98566794949001 40.59890811275755),3,Brooklyn,311,47,47,17,11,Stillwell Avenue with 25th Avenue and 84th Street,Brooklyn,02/10/2022,-73.98566805,40.59890783,X,AREA OF MINIMAL FLOOD HAZARD,3,Gravesend (West)
POINT (-73.8396510590914 40.880927846664775),2,Bronx,212,12,83,36,15,Boston Road and Edson Avenue,Bronx,03/30/2021,-73.83965105,40.88092732,X,AREA OF MINIMAL FLOOD HAZARD,,Eastchester-Edenwald-Baychester
POINT (-73.94986012592254 40.809551368129846),1,Manhattan,110,9,70,30,13,West 125th Street at 400’ east of Frederick Douglass Boulevard,Manhattan,10/31/2016,-73.94986013,40.80955137,X,AREA OF MINIMAL FLOOD HAZARD,6,Harlem (South)
POINT (-73.97145908007867 40.800333000708164),1,Manhattan,107,6,69,47,12,Riverside Drive and West 103rd Street,Manhattan,12/04/2018,-73.97145886,40.80033252,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Manhattan Valley
POINT (-73.86653688314583 40.70310902183793),4,Queens,405,30,38,15,7,Myrtle Avenue and 82nd Street,Queens,10/30/2015,-73.86653697,40.70310837,X,AREA OF MINIMAL FLOOD HAZARD,,Forest Park
POINT (-74.00045730231598 40.6059356656764),3,Brooklyn,311,47,47,17,11,86th Street and 19th Avenue,Brooklyn,09/20/2019,-74.00045737,40.6059354,X,AREA OF MINIMAL FLOOD HAZARD,6,Bensonhurst
POINT (-73.94874334444269 40.63202084609563),3,Brooklyn,314,45,42,21,9,Hillel Place and Campus Road (North Side),Brooklyn,08/07/2015,-73.94874342,40.63202043,X,AREA OF MINIMAL FLOOD HAZARD,6,Flatbush
POINT (-73.89256483666497 40.860521982569495),2,Bronx,205,15,78,33,13,Webster Avenue and East 189th Street,Bronx,03/28/2022,-73.89256475,40.86052151,X,AREA OF MINIMAL FLOOD HAZARD,,Fordham Heights
POINT (-73.89102440800878 40.73936017323525),4,Queens,402,26,30,12,6,Queens Boulevard between 72nd and 73rd Streets,Queens,11/10/2016,-73.89102439,40.73935951,X,AREA OF MINIMAL FLOOD HAZARD,,Woodside
POINT (-73.77006702703964 40.711355883620605),4,Queens,412,23,29,11,5,Jamaica Avenue and 189th Stret,Queens,03/24/2020,-73.77006729,40.71135509,X,AREA OF MINIMAL FLOOD HAZARD,,Hollis
